Turn,Happiness,Load
0,0.0,243.0
1,0.0,243.0
2,0.0,243.0
3,0.0,257.0
4,3.0,349.0
5,369.0,364.0
6,397.0,385.0
7,394.0,413.0
8,390.0,414.0
9,391.0,403.0
10,392.0,401.0
11,388.0,404.0
12,396.0,409.0
13,418.0,388.0
14,432.0,390.0
15,430.0,405.0
16,436.0,403.0
17,435.0,408.0
18,429.0,394.0
19,430.0,392.0
20,427.0,400.0
21,423.0,405.0
22,441.0,404.0
23,447.0,398.0
24,432.0,397.0
25,440.0,391.0
26,438.0,402.0
27,425.0,406.0
28,414.0,403.0
29,408.0,413.0
30,415.0,417.0
31,420.0,411.0
32,413.0,401.0
33,400.0,417.0
34,390.0,414.0
35,383.0,399.0
36,451.0,409.0
37,448.0,404.0
38,450.0,411.0
39,458.0,418.0
40,441.0,426.0
41,431.0,413.0
42,431.0,406.0
43,360.0,397.0
44,354.0,389.0
45,354.0,398.0
46,350.0,405.0
47,336.0,421.0
48,352.0,380.0
49,317.0,384.0
50,316.0,386.0
51,295.0,387.0
52,298.0,400.0
53,279.0,412.0
54,263.0,398.0
55,265.0,399.0
56,254.0,399.0
57,252.0,399.0
58,255.0,394.0
59,256.0,394.0
60,274.0,399.0
61,276.0,404.0
62,268.0,405.0
63,265.0,405.0
64,284.0,396.0
65,280.0,396.0
66,283.0,392.0
67,289.0,395.0
68,283.0,413.0
69,296.0,416.0
70,303.0,412.0
71,317.0,411.0
72,325.0,417.0
73,332.0,419.0
74,342.0,400.0
75,363.0,407.0
76,393.0,403.0
77,409.0,404.0
78,430.0,401.0
79,451.0,401.0
80,456.0,403.0
81,464.0,396.0
82,482.0,397.0
83,498.0,409.0
84,497.0,417.0
85,514.0,413.0
86,514.0,364.0
87,341.0,376.0
88,351.0,381.0
89,346.0,392.0
90,361.0,392.0
91,384.0,395.0
92,382.0,414.0
93,376.0,404.0
94,383.0,403.0
95,382.0,403.0
96,319.0,393.0
97,312.0,402.0
98,326.0,398.0
99,330.0,396.0
100,333.0,401.0
101,346.0,405.0
102,350.0,400.0
103,366.0,406.0
104,358.0,394.0
105,357.0,393.0
106,371.0,393.0
107,371.0,380.0
108,251.0,392.0
109,261.0,416.0
110,264.0,390.0
111,239.0,389.0
112,236.0,397.0
113,223.0,400.0
114,223.0,402.0
115,225.0,397.0
116,233.0,396.0
117,239.0,401.0
118,240.0,407.0
119,254.0,416.0
120,270.0,408.0
121,296.0,415.0
122,313.0,411.0
123,322.0,420.0
124,341.0,411.0
125,352.0,418.0
126,354.0,413.0
127,360.0,402.0
128,374.0,398.0
129,376.0,407.0
130,378.0,411.0
131,371.0,406.0
132,371.0,413.0
133,379.0,421.0
134,382.0,416.0
135,384.0,408.0
136,377.0,422.0
137,383.0,411.0
138,399.0,412.0
139,392.0,407.0
140,388.0,406.0
141,388.0,406.0
142,388.0,406.0
143,388.0,406.0
