Turn,Happiness,Load
0,365.0,266.0
1,365.0,266.0
2,365.0,266.0
3,365.0,266.0
4,365.0,368.0
5,200.0,375.0
6,196.0,408.0
7,463.0,415.0
8,440.0,416.0
9,421.0,413.0
10,405.0,394.0
11,436.0,409.0
12,419.0,395.0
13,441.0,418.0
14,431.0,421.0
15,433.0,426.0
16,427.0,353.0
17,452.0,384.0
18,451.0,371.0
19,466.0,380.0
20,461.0,381.0
21,473.0,404.0
22,470.0,403.0
23,470.0,401.0
24,482.0,413.0
25,488.0,377.0
26,492.0,405.0
27,504.0,414.0
28,493.0,413.0
29,484.0,404.0
30,487.0,398.0
31,515.0,417.0
32,512.0,427.0
33,507.0,426.0
34,489.0,445.0
35,495.0,426.0
36,483.0,421.0
37,469.0,435.0
38,505.0,411.0
39,485.0,405.0
40,469.0,404.0
41,471.0,390.0
42,460.0,393.0
43,460.0,382.0
44,476.0,388.0
45,429.0,405.0
46,421.0,399.0
47,397.0,408.0
48,389.0,422.0
49,390.0,415.0
50,422.0,425.0
51,354.0,402.0
52,338.0,401.0
53,406.0,396.0
54,391.0,415.0
55,353.0,405.0
56,335.0,413.0
57,334.0,377.0
58,390.0,383.0
59,372.0,394.0
60,404.0,408.0
61,334.0,406.0
62,399.0,412.0
63,376.0,409.0
64,411.0,396.0
65,373.0,399.0
66,359.0,402.0
67,350.0,406.0
68,350.0,403.0
69,342.0,412.0
70,334.0,407.0
71,400.0,420.0
72,380.0,392.0
73,386.0,405.0
74,373.0,404.0
75,371.0,403.0
76,378.0,404.0
77,370.0,422.0
78,347.0,427.0
79,493.0,423.0
80,487.0,414.0
81,483.0,412.0
82,480.0,408.0
83,472.0,399.0
84,514.0,404.0
85,504.0,416.0
86,527.0,420.0
87,509.0,414.0
88,497.0,385.0
89,523.0,395.0
90,522.0,393.0
91,491.0,410.0
92,468.0,419.0
93,461.0,428.0
94,459.0,428.0
95,469.0,430.0
96,557.0,405.0
97,537.0,382.0
98,564.0,391.0
99,545.0,393.0
100,518.0,395.0
101,498.0,417.0
102,453.0,418.0
103,442.0,416.0
104,441.0,414.0
105,438.0,400.0
106,447.0,399.0
107,430.0,407.0
108,426.0,405.0
109,406.0,397.0
110,382.0,398.0
111,379.0,395.0
112,383.0,410.0
113,369.0,404.0
114,369.0,399.0
115,363.0,397.0
116,360.0,409.0
117,354.0,404.0
118,345.0,402.0
119,342.0,398.0
120,338.0,392.0
121,347.0,394.0
122,317.0,389.0
123,535.0,406.0
124,597.0,399.0
125,543.0,387.0
126,443.0,398.0
127,418.0,411.0
128,391.0,400.0
129,372.0,405.0
130,341.0,398.0
131,343.0,403.0
132,325.0,401.0
133,307.0,399.0
134,309.0,408.0
135,296.0,408.0
136,269.0,425.0
137,236.0,424.0
138,216.0,410.0
139,217.0,407.0
140,208.0,408.0
141,211.0,408.0
142,211.0,408.0
143,211.0,408.0
