Turn,Happiness,Load
0,0,35
1,0,35
2,0,35
3,0,35
4,4,43
5,14,65
6,19,60
7,21,74
8,21,69
9,25,75
10,67,81
11,67,81
12,67,81
13,67,81
14,67,81
15,64,77
16,58,82
17,56,86
18,56,86
19,56,86
20,56,86
21,56,86
22,56,86
23,56,86
24,69,75
25,75,75
26,77,75
27,73,75
28,68,79
29,64,87
30,69,84
31,72,90
32,65,84
33,53,75
34,57,82
35,48,75
36,53,75
37,59,75
38,59,75
39,64,75
40,63,81
41,67,80
42,65,80
43,69,83
44,59,75
45,66,75
46,66,75
47,56,75
48,57,81
49,52,75
50,55,79
51,58,79
52,58,83
53,46,75
54,50,80
55,50,78
56,53,82
57,53,82
58,49,81
59,49,81
60,51,84
61,51,84
62,47,85
63,45,85
64,50,87
65,58,84
66,52,87
67,50,91
68,63,85
69,68,82
70,71,79
71,71,79
72,71,77
73,79,82
74,88,80
75,92,83
76,97,82
77,94,76
78,101,81
79,109,87
80,110,80
81,114,81
82,127,79
83,126,75
84,119,75
85,134,75
86,123,75
87,114,76
88,115,77
89,122,80
90,116,81
91,124,84
92,129,82
93,137,89
94,144,85
95,145,81
96,147,86
97,149,83
98,140,86
99,154,86
100,155,81
101,162,84
102,248,74
103,220,58
104,201,49
105,193,55
106,193,55
107,167,81
108,174,80
109,241,76
110,173,66
111,154,76
112,139,78
113,138,79
114,125,78
115,125,78
116,125,78
117,125,78
118,131,79
119,131,79
120,131,79
121,131,79
122,131,79
123,131,79
124,131,79
125,131,79
126,156,58
127,153,75
128,153,75
129,150,75
130,143,75
131,153,61
132,100,53
133,103,58
134,116,68
135,116,68
136,108,74
137,108,74
138,108,75
139,106,49
140,105,52
141,39,27
142,29,15
143,33,16
