Turn,Happiness,Load
0,0.0,266.0
1,0.0,266.0
2,0.0,280.0
3,3.0,300.0
4,5.0,356.0
5,24.0,380.0
6,26.0,393.0
7,577.0,427.0
8,542.0,416.0
9,528.0,397.0
10,551.0,394.0
11,536.0,420.0
12,507.0,417.0
13,499.0,427.0
14,493.0,423.0
15,502.0,429.0
16,506.0,394.0
17,585.0,406.0
18,558.0,398.0
19,575.0,413.0
20,558.0,403.0
21,601.0,413.0
22,591.0,421.0
23,587.0,424.0
24,573.0,445.0
25,557.0,442.0
26,555.0,452.0
27,546.0,441.0
28,531.0,425.0
29,544.0,395.0
30,628.0,397.0
31,633.0,386.0
32,635.0,403.0
33,604.0,413.0
34,575.0,409.0
35,586.0,411.0
36,565.0,426.0
37,530.0,428.0
38,521.0,436.0
39,500.0,429.0
40,479.0,394.0
41,541.0,405.0
42,522.0,399.0
43,510.0,412.0
44,490.0,429.0
45,467.0,431.0
46,449.0,429.0
47,415.0,424.0
48,395.0,379.0
49,386.0,406.0
50,354.0,400.0
51,371.0,404.0
52,358.0,406.0
53,331.0,412.0
54,320.0,417.0
55,294.0,399.0
56,329.0,401.0
57,330.0,425.0
58,306.0,424.0
59,300.0,418.0
60,299.0,400.0
61,341.0,424.0
62,327.0,401.0
63,332.0,407.0
64,317.0,391.0
65,316.0,396.0
66,303.0,410.0
67,300.0,399.0
68,304.0,399.0
69,394.0,399.0
70,409.0,406.0
71,412.0,410.0
72,407.0,406.0
73,393.0,402.0
74,437.0,406.0
75,440.0,416.0
76,435.0,428.0
77,429.0,425.0
78,438.0,428.0
79,445.0,394.0
80,502.0,412.0
81,485.0,411.0
82,484.0,420.0
83,463.0,436.0
84,541.0,435.0
85,518.0,411.0
86,532.0,406.0
87,561.0,420.0
88,520.0,418.0
89,513.0,412.0
90,528.0,409.0
91,526.0,422.0
92,520.0,429.0
93,523.0,420.0
94,574.0,402.0
95,563.0,430.0
96,544.0,410.0
97,531.0,419.0
98,493.0,427.0
99,481.0,431.0
100,474.0,403.0
101,505.0,392.0
102,519.0,396.0
103,501.0,385.0
104,508.0,392.0
105,497.0,410.0
106,476.0,396.0
107,460.0,417.0
108,433.0,418.0
109,484.0,406.0
110,479.0,394.0
111,464.0,404.0
112,447.0,386.0
113,463.0,370.0
114,434.0,362.0
115,370.0,387.0
116,348.0,406.0
117,331.0,407.0
118,323.0,422.0
119,306.0,425.0
120,297.0,415.0
121,294.0,392.0
122,398.0,410.0
123,394.0,407.0
124,343.0,391.0
125,328.0,408.0
126,309.0,394.0
127,286.0,391.0
128,272.0,400.0
129,243.0,419.0
130,226.0,428.0
131,216.0,427.0
132,204.0,440.0
133,328.0,412.0
134,310.0,403.0
135,271.0,401.0
136,258.0,422.0
137,268.0,408.0
138,302.0,374.0
139,233.0,370.0
140,215.0,332.0
141,186.0,314.0
142,161.0,300.0
143,115.0,271.0
