Turn,Happiness,Load
0,0,75
1,0,75
2,0,79
3,0,86
4,0,87
5,0,82
6,0,75
7,0,75
8,1,77
9,5,80
10,1,82
11,5,78
12,6,92
13,7,75
14,8,83
15,10,87
16,13,85
17,16,77
18,13,80
19,16,81
20,20,79
21,19,75
22,22,76
23,18,75
24,26,75
25,31,77
26,31,77
27,31,77
28,31,77
29,34,84
30,49,76
31,52,80
32,52,80
33,52,80
34,52,80
35,69,77
36,75,81
37,73,79
38,91,75
39,72,75
40,77,77
41,85,84
42,85,83
43,98,78
44,97,80
45,96,81
46,97,81
47,97,78
48,102,83
49,104,77
50,115,75
51,90,83
52,90,83
53,115,77
54,115,77
55,120,81
56,109,83
57,109,81
58,125,80
59,125,80
60,120,83
61,110,69
62,110,69
63,110,69
64,106,66
65,106,66
66,106,66
67,106,66
68,106,66
69,106,66
70,106,66
71,106,66
72,177,82
73,172,77
74,159,75
75,159,76
76,159,76
77,134,78
78,121,78
79,206,77
80,211,81
81,205,76
82,194,83
83,167,82
84,152,80
85,132,78
86,118,77
87,116,83
88,116,83
89,77,76
90,77,78
91,77,78
92,77,78
93,53,78
94,53,78
95,53,87
96,46,77
97,46,77
98,39,76
99,39,76
100,16,76
101,24,80
102,24,83
103,25,75
104,37,75
105,17,78
106,19,76
107,9,88
108,3,92
109,30,79
110,30,79
111,31,78
112,30,85
113,16,77
114,15,81
115,12,76
116,8,75
117,15,75
118,15,79
119,14,76
120,16,75
121,31,75
122,28,75
123,28,75
124,20,77
125,13,84
126,25,78
127,17,75
128,24,89
129,19,86
130,19,86
131,15,90
132,12,81
133,8,81
134,8,90
135,8,81
136,11,74
137,13,83
138,8,75
139,20,75
140,23,75
141,10,74
142,3,70
143,0,67
