Turn,Happiness,Load
0,0.0,251.0
1,0.0,251.0
2,0.0,261.0
3,0.0,269.0
4,0.0,306.0
5,5.0,342.0
6,10.0,353.0
7,10.0,377.0
8,412.0,400.0
9,401.0,395.0
10,432.0,364.0
11,407.0,384.0
12,395.0,408.0
13,398.0,398.0
14,453.0,407.0
15,417.0,399.0
16,406.0,372.0
17,402.0,361.0
18,395.0,379.0
19,387.0,386.0
20,389.0,389.0
21,382.0,390.0
22,389.0,384.0
23,457.0,386.0
24,448.0,391.0
25,442.0,408.0
26,443.0,403.0
27,449.0,402.0
28,436.0,396.0
29,433.0,408.0
30,429.0,361.0
31,422.0,349.0
32,412.0,375.0
33,406.0,380.0
34,483.0,396.0
35,471.0,399.0
36,461.0,357.0
37,438.0,383.0
38,434.0,401.0
39,422.0,389.0
40,419.0,395.0
41,430.0,390.0
42,408.0,392.0
43,498.0,376.0
44,452.0,392.0
45,440.0,385.0
46,420.0,375.0
47,418.0,377.0
48,413.0,393.0
49,407.0,376.0
50,398.0,390.0
51,371.0,392.0
52,372.0,392.0
53,368.0,370.0
54,336.0,348.0
55,272.0,365.0
56,261.0,351.0
57,204.0,386.0
58,201.0,369.0
59,192.0,389.0
60,194.0,388.0
61,182.0,400.0
62,170.0,403.0
63,167.0,408.0
64,168.0,364.0
65,223.0,375.0
66,219.0,349.0
67,211.0,377.0
68,207.0,364.0
69,205.0,378.0
70,278.0,353.0
71,244.0,373.0
72,238.0,384.0
73,237.0,384.0
74,236.0,374.0
75,239.0,370.0
76,240.0,370.0
77,244.0,378.0
78,266.0,399.0
79,282.0,400.0
80,308.0,433.0
81,397.0,425.0
82,417.0,430.0
83,411.0,408.0
84,419.0,406.0
85,415.0,422.0
86,414.0,411.0
87,418.0,362.0
88,403.0,372.0
89,396.0,383.0
90,387.0,388.0
91,388.0,386.0
92,442.0,387.0
93,422.0,407.0
94,419.0,417.0
95,417.0,396.0
96,410.0,379.0
97,384.0,364.0
98,371.0,376.0
99,363.0,389.0
100,365.0,386.0
101,365.0,389.0
102,367.0,406.0
103,354.0,409.0
104,324.0,425.0
105,369.0,421.0
106,363.0,399.0
107,347.0,422.0
108,350.0,390.0
109,316.0,371.0
110,309.0,348.0
111,290.0,382.0
112,286.0,376.0
113,288.0,364.0
114,242.0,391.0
115,233.0,408.0
116,223.0,406.0
117,220.0,421.0
118,217.0,396.0
119,209.0,406.0
120,202.0,422.0
121,188.0,406.0
122,245.0,380.0
123,219.0,384.0
124,211.0,387.0
125,196.0,401.0
126,170.0,397.0
127,168.0,392.0
128,168.0,344.0
129,137.0,360.0
130,132.0,361.0
131,123.0,393.0
132,110.0,384.0
133,166.0,392.0
134,160.0,395.0
135,145.0,400.0
136,145.0,402.0
137,145.0,407.0
138,143.0,421.0
139,142.0,418.0
140,142.0,410.0
141,143.0,305.0
142,92.0,273.0
143,75.0,252.0
