Turn,Happiness,Load
0,9,37
1,9,37
2,9,49
3,9,66
4,9,70
5,1,79
6,1,87
7,0,89
8,0,92
9,1,92
10,0,91
11,2,87
12,3,82
13,4,86
14,5,82
15,4,81
16,7,87
17,11,87
18,7,84
19,7,84
20,9,85
21,30,81
22,31,77
23,30,87
24,35,80
25,39,79
26,40,77
27,44,85
28,44,85
29,55,81
30,59,82
31,57,79
32,60,84
33,71,80
34,82,85
35,84,78
36,89,86
37,81,75
38,77,79
39,78,80
40,101,86
41,100,75
42,99,79
43,99,79
44,103,78
45,109,82
46,124,83
47,111,82
48,116,79
49,116,79
50,116,79
51,126,79
52,127,83
53,118,79
54,126,78
55,134,85
56,125,76
57,124,82
58,112,78
59,125,84
60,125,84
61,125,84
62,125,84
63,125,84
64,125,84
65,125,84
66,125,84
67,125,84
68,125,84
69,125,84
70,125,84
71,125,84
72,125,84
73,125,84
74,125,84
75,125,84
76,125,84
77,146,82
78,130,79
79,140,83
80,163,85
81,154,80
82,160,79
83,155,80
84,155,80
85,145,81
86,135,83
87,135,83
88,138,83
89,129,82
90,167,81
91,158,82
92,142,81
93,120,80
94,97,86
95,96,79
96,80,82
97,92,87
98,80,83
99,91,82
100,100,85
101,94,88
102,50,85
103,50,85
104,52,85
105,52,85
106,52,85
107,52,85
108,52,85
109,31,79
110,39,78
111,36,81
112,19,86
113,12,89
114,12,89
115,8,83
116,10,83
117,2,86
118,5,85
119,13,86
120,13,90
121,13,83
122,9,87
123,32,80
124,23,77
125,25,83
126,18,79
127,17,88
128,6,83
129,6,81
130,16,84
131,16,79
132,9,87
133,9,87
134,9,87
135,9,87
136,9,87
137,31,80
138,24,79
139,24,81
140,22,77
141,22,77
142,22,77
143,22,77
