Turn,Happiness,Load
0,0.0,244.0
1,0.0,244.0
2,0.0,244.0
3,0.0,282.0
4,8.0,316.0
5,13.0,344.0
6,10.0,350.0
7,15.0,358.0
8,15.0,383.0
9,498.0,393.0
10,453.0,388.0
11,440.0,395.0
12,416.0,391.0
13,409.0,414.0
14,400.0,408.0
15,401.0,415.0
16,400.0,415.0
17,400.0,408.0
18,416.0,404.0
19,422.0,390.0
20,428.0,394.0
21,431.0,403.0
22,428.0,403.0
23,428.0,403.0
24,428.0,360.0
25,434.0,375.0
26,433.0,379.0
27,426.0,393.0
28,469.0,392.0
29,468.0,396.0
30,467.0,394.0
31,454.0,407.0
32,453.0,405.0
33,455.0,424.0
34,458.0,421.0
35,460.0,417.0
36,458.0,416.0
37,451.0,404.0
38,437.0,406.0
39,426.0,402.0
40,422.0,394.0
41,420.0,407.0
42,415.0,406.0
43,401.0,396.0
44,395.0,401.0
45,391.0,398.0
46,392.0,404.0
47,385.0,420.0
48,378.0,374.0
49,320.0,391.0
50,315.0,394.0
51,288.0,406.0
52,280.0,393.0
53,279.0,393.0
54,273.0,388.0
55,232.0,393.0
56,229.0,393.0
57,229.0,392.0
58,238.0,408.0
59,241.0,411.0
60,244.0,410.0
61,218.0,406.0
62,212.0,416.0
63,209.0,407.0
64,223.0,405.0
65,217.0,405.0
66,204.0,412.0
67,200.0,404.0
68,208.0,410.0
69,209.0,398.0
70,224.0,412.0
71,219.0,402.0
72,232.0,377.0
73,301.0,384.0
74,301.0,386.0
75,283.0,390.0
76,263.0,404.0
77,264.0,395.0
78,262.0,394.0
79,269.0,394.0
80,270.0,392.0
81,269.0,393.0
82,249.0,405.0
83,246.0,381.0
84,371.0,400.0
85,364.0,400.0
86,368.0,405.0
87,369.0,411.0
88,371.0,367.0
89,419.0,375.0
90,404.0,386.0
91,410.0,409.0
92,390.0,407.0
93,392.0,403.0
94,394.0,403.0
95,393.0,387.0
96,354.0,394.0
97,341.0,399.0
98,321.0,402.0
99,309.0,398.0
100,310.0,391.0
101,328.0,413.0
102,302.0,420.0
103,295.0,413.0
104,294.0,422.0
105,291.0,383.0
106,301.0,389.0
107,277.0,397.0
108,268.0,389.0
109,268.0,389.0
110,268.0,389.0
111,268.0,386.0
112,271.0,392.0
113,266.0,398.0
114,264.0,405.0
115,264.0,410.0
116,254.0,417.0
117,220.0,406.0
118,220.0,419.0
119,253.0,418.0
120,247.0,404.0
121,238.0,409.0
122,218.0,396.0
123,214.0,401.0
124,203.0,407.0
125,196.0,373.0
126,179.0,383.0
127,168.0,391.0
128,154.0,389.0
129,154.0,387.0
130,154.0,391.0
131,143.0,394.0
132,143.0,404.0
133,134.0,409.0
134,129.0,404.0
135,132.0,409.0
136,130.0,411.0
137,130.0,416.0
138,121.0,421.0
139,118.0,421.0
140,118.0,421.0
141,118.0,421.0
142,118.0,421.0
143,118.0,421.0
