Turn,Happiness,Load
0,92,55
1,92,55
2,92,55
3,92,55
4,20,67
5,25,71
6,25,77
7,20,83
8,14,79
9,11,83
10,6,82
11,4,83
12,4,83
13,4,83
14,2,77
15,4,74
16,0,74
17,3,76
18,2,76
19,2,82
20,2,77
21,2,73
22,0,76
23,0,79
24,0,82
25,0,79
26,1,82
27,2,82
28,0,83
29,0,79
30,0,91
31,0,83
32,0,83
33,0,83
34,0,90
35,0,86
36,0,78
37,0,79
38,0,78
39,0,82
40,0,90
41,0,83
42,3,79
43,2,81
44,2,81
45,2,81
46,5,82
47,6,81
48,7,82
49,3,78
50,10,79
51,10,80
52,14,81
53,18,82
54,18,82
55,24,79
56,51,78
57,38,88
58,48,88
59,46,80
60,61,80
61,61,81
62,68,86
63,73,78
64,84,80
65,76,80
66,73,83
67,73,83
68,80,79
69,123,76
70,128,87
71,116,78
72,121,78
73,126,76
74,125,89
75,127,81
76,125,80
77,118,82
78,137,76
79,163,78
80,151,82
81,179,87
82,177,84
83,185,81
84,166,78
85,164,81
86,163,83
87,169,83
88,188,80
89,201,89
90,177,80
91,179,81
92,190,80
93,178,78
94,190,79
95,177,83
96,166,81
97,166,81
98,166,79
99,167,88
100,156,90
101,143,82
102,175,79
103,153,79
104,161,80
105,119,83
106,121,81
107,132,81
108,132,81
109,129,77
110,162,73
111,128,76
112,126,75
113,141,72
114,152,80
115,109,74
116,122,76
117,159,82
118,124,79
119,99,76
120,80,76
121,75,78
122,72,81
123,125,82
124,120,85
125,107,83
126,116,80
127,102,81
128,102,81
129,95,79
130,96,80
131,85,76
132,88,81
133,101,79
134,99,79
135,92,80
136,96,80
137,67,81
138,67,81
139,53,72
140,53,72
141,53,72
142,53,72
143,53,72
