Turn,Happiness,Load
0,422.0,234.0
1,416.0,234.0
2,478.0,250.0
3,484.0,281.0
4,482.0,301.0
5,481.0,338.0
6,464.0,356.0
7,462.0,356.0
8,462.0,384.0
9,470.0,402.0
10,451.0,377.0
11,436.0,357.0
12,438.0,348.0
13,445.0,359.0
14,451.0,359.0
15,451.0,376.0
16,453.0,353.0
17,466.0,365.0
18,469.0,358.0
19,459.0,376.0
20,464.0,393.0
21,468.0,368.0
22,482.0,348.0
23,490.0,350.0
24,481.0,380.0
25,496.0,391.0
26,506.0,400.0
27,509.0,363.0
28,514.0,362.0
29,520.0,374.0
30,524.0,378.0
31,519.0,342.0
32,512.0,352.0
33,519.0,363.0
34,511.0,379.0
35,508.0,389.0
36,499.0,397.0
37,491.0,372.0
38,490.0,380.0
39,467.0,359.0
40,501.0,359.0
41,462.0,356.0
42,456.0,361.0
43,441.0,368.0
44,434.0,364.0
45,432.0,379.0
46,442.0,382.0
47,445.0,382.0
48,445.0,378.0
49,393.0,371.0
50,398.0,386.0
51,388.0,381.0
52,357.0,372.0
53,376.0,381.0
54,375.0,397.0
55,373.0,365.0
56,356.0,351.0
57,407.0,349.0
58,362.0,345.0
59,334.0,362.0
60,335.0,366.0
61,333.0,386.0
62,339.0,394.0
63,356.0,381.0
64,400.0,373.0
65,384.0,381.0
66,380.0,345.0
67,396.0,359.0
68,375.0,344.0
69,393.0,373.0
70,403.0,376.0
71,428.0,368.0
72,439.0,377.0
73,445.0,393.0
74,441.0,391.0
75,447.0,379.0
76,447.0,387.0
77,441.0,385.0
78,439.0,394.0
79,457.0,381.0
80,463.0,404.0
81,478.0,400.0
82,481.0,400.0
83,525.0,382.0
84,498.0,390.0
85,492.0,359.0
86,516.0,365.0
87,514.0,373.0
88,564.0,386.0
89,564.0,384.0
90,567.0,371.0
91,598.0,386.0
92,607.0,410.0
93,620.0,370.0
94,538.0,374.0
95,497.0,382.0
96,514.0,393.0
97,526.0,395.0
98,539.0,393.0
99,541.0,402.0
100,553.0,395.0
101,542.0,328.0
102,584.0,354.0
103,574.0,367.0
104,638.0,364.0
105,582.0,379.0
106,571.0,375.0
107,568.0,381.0
108,564.0,361.0
109,517.0,398.0
110,531.0,412.0
111,516.0,368.0
112,562.0,384.0
113,598.0,376.0
114,540.0,395.0
115,528.0,378.0
116,511.0,360.0
117,558.0,368.0
118,505.0,374.0
119,511.0,368.0
120,539.0,370.0
121,533.0,341.0
122,483.0,341.0
123,483.0,341.0
124,483.0,351.0
125,490.0,358.0
126,488.0,371.0
127,500.0,377.0
128,509.0,335.0
129,445.0,335.0
130,445.0,355.0
131,462.0,379.0
132,475.0,388.0
133,457.0,397.0
134,454.0,414.0
135,442.0,407.0
136,440.0,404.0
137,428.0,394.0
138,430.0,379.0
139,456.0,344.0
140,434.0,344.0
141,434.0,344.0
142,434.0,344.0
143,434.0,344.0
