Turn,Happiness,Load
0,0,70
1,0,70
2,0,70
3,0,75
4,0,70
5,385,76
6,307,80
7,321,79
8,324,77
9,307,76
10,307,77
11,290,79
12,304,83
13,280,84
14,294,80
15,295,79
16,298,80
17,293,80
18,284,85
19,368,79
20,362,80
21,352,82
22,343,85
23,377,79
24,379,80
25,357,78
26,357,79
27,370,80
28,391,78
29,369,78
30,388,79
31,312,83
32,317,81
33,325,81
34,343,80
35,309,81
36,305,83
37,306,80
38,276,80
39,262,81
40,262,81
41,248,78
42,219,79
43,217,79
44,207,78
45,204,77
46,189,81
47,190,84
48,180,82
49,99,88
50,93,78
51,82,80
52,85,84
53,86,85
54,63,84
55,46,80
56,45,80
57,19,77
58,20,77
59,16,77
60,17,76
61,16,78
62,18,80
63,17,81
64,17,84
65,25,84
66,24,81
67,24,83
68,23,76
69,9,78
70,9,80
71,9,80
72,0,73
73,2,79
74,2,85
75,2,85
76,2,85
77,0,79
78,5,80
79,2,76
80,2,77
81,7,78
82,17,80
83,0,85
84,0,78
85,0,77
86,0,78
87,1,79
88,1,80
89,0,82
90,0,82
91,0,80
92,0,80
93,0,82
94,0,82
95,0,90
96,0,90
97,2,81
98,0,79
99,12,83
100,14,80
101,0,84
102,11,82
103,1,78
104,1,84
105,0,75
106,0,76
107,12,82
108,24,83
109,17,79
110,10,77
111,0,75
112,0,75
113,0,75
114,0,75
115,0,80
116,11,83
117,11,83
118,24,79
119,11,74
120,10,77
121,10,84
122,11,82
123,16,81
124,13,81
125,21,84
126,18,79
127,25,83
128,0,76
129,14,83
130,27,79
131,16,82
132,22,78
133,14,81
134,0,75
135,0,78
136,13,78
137,25,80
138,23,81
139,23,81
140,0,75
141,0,75
142,0,75
143,0,75
