Turn,Happiness,Load
0,0.0,235.0
1,0.0,235.0
2,0.0,246.0
3,7.0,256.0
4,12.0,256.0
5,12.0,266.0
6,16.0,353.0
7,30.0,384.0
8,200.0,399.0
9,299.0,395.0
10,317.0,404.0
11,390.0,399.0
12,394.0,394.0
13,420.0,404.0
14,437.0,403.0
15,440.0,400.0
16,437.0,407.0
17,440.0,400.0
18,451.0,401.0
19,471.0,399.0
20,466.0,407.0
21,468.0,404.0
22,471.0,399.0
23,478.0,400.0
24,490.0,399.0
25,486.0,407.0
26,477.0,409.0
27,483.0,404.0
28,472.0,402.0
29,478.0,402.0
30,478.0,406.0
31,465.0,400.0
32,461.0,403.0
33,461.0,409.0
34,463.0,406.0
35,463.0,412.0
36,467.0,408.0
37,477.0,403.0
38,504.0,397.0
39,498.0,394.0
40,504.0,401.0
41,506.0,403.0
42,457.0,371.0
43,586.0,343.0
44,493.0,351.0
45,506.0,323.0
46,384.0,363.0
47,412.0,372.0
48,415.0,402.0
49,394.0,393.0
50,384.0,395.0
51,338.0,389.0
52,338.0,408.0
53,326.0,404.0
54,324.0,347.0
55,303.0,365.0
56,311.0,365.0
57,378.0,376.0
58,365.0,393.0
59,365.0,375.0
60,379.0,374.0
61,375.0,397.0
62,368.0,338.0
63,321.0,348.0
64,335.0,378.0
65,345.0,385.0
66,345.0,368.0
67,427.0,408.0
68,416.0,389.0
69,426.0,409.0
70,407.0,413.0
71,409.0,420.0
72,413.0,422.0
73,419.0,422.0
74,428.0,414.0
75,445.0,364.0
76,532.0,365.0
77,541.0,329.0
78,459.0,372.0
79,551.0,349.0
80,454.0,365.0
81,466.0,399.0
82,492.0,416.0
83,476.0,438.0
84,490.0,434.0
85,486.0,453.0
86,497.0,371.0
87,510.0,378.0
88,495.0,397.0
89,488.0,394.0
90,504.0,353.0
91,526.0,360.0
92,537.0,363.0
93,529.0,383.0
94,538.0,367.0
95,532.0,377.0
96,510.0,356.0
97,476.0,367.0
98,484.0,377.0
99,484.0,392.0
100,500.0,400.0
101,521.0,358.0
102,520.0,354.0
103,501.0,362.0
104,506.0,375.0
105,499.0,382.0
106,473.0,386.0
107,439.0,407.0
108,442.0,424.0
109,440.0,392.0
110,424.0,412.0
111,426.0,386.0
112,419.0,381.0
113,370.0,371.0
114,353.0,388.0
115,356.0,375.0
116,349.0,358.0
117,304.0,364.0
118,290.0,343.0
119,260.0,355.0
120,267.0,393.0
121,375.0,369.0
122,312.0,357.0
123,288.0,354.0
124,278.0,343.0
125,261.0,380.0
126,268.0,340.0
127,223.0,358.0
128,236.0,385.0
129,236.0,385.0
130,236.0,392.0
131,247.0,351.0
132,231.0,367.0
133,230.0,331.0
134,168.0,330.0
135,164.0,362.0
136,191.0,341.0
137,188.0,349.0
138,193.0,323.0
139,132.0,331.0
140,141.0,307.0
141,92.0,283.0
142,64.0,252.0
143,58.0,241.0
