Turn,Happiness,Load
0,0,24
1,0,24
2,0,24
3,4,30
4,14,46
5,21,62
6,21,62
7,24,75
8,24,75
9,28,79
10,28,79
11,28,79
12,58,81
13,58,81
14,55,80
15,62,84
16,74,85
17,63,75
18,66,79
19,67,84
20,68,83
21,73,84
22,83,84
23,85,82
24,90,86
25,91,92
26,79,75
27,78,75
28,72,75
29,72,76
30,75,84
31,80,81
32,78,82
33,71,83
34,70,79
35,70,79
36,73,80
37,73,80
38,73,80
39,73,80
40,73,80
41,60,75
42,64,80
43,78,83
44,91,84
45,69,81
46,68,77
47,43,75
48,52,75
49,43,75
50,45,79
51,53,82
52,53,85
53,56,79
54,56,79
55,53,83
56,52,80
57,57,88
58,56,87
59,58,80
60,57,85
61,52,81
62,55,85
63,61,84
64,68,79
65,69,90
66,74,82
67,74,82
68,73,75
69,92,76
70,101,84
71,121,77
72,124,83
73,108,84
74,110,88
75,103,81
76,107,87
77,107,87
78,146,86
79,142,78
80,140,79
81,149,83
82,161,83
83,149,91
84,135,80
85,135,80
86,142,83
87,145,83
88,150,82
89,153,85
90,153,85
91,152,79
92,158,75
93,162,75
94,149,76
95,118,80
96,124,81
97,127,87
98,127,87
99,186,75
100,154,73
101,154,73
102,161,82
103,146,84
104,154,84
105,143,80
106,143,80
107,188,77
108,161,75
109,161,79
110,158,67
111,154,75
112,143,76
113,150,65
114,125,82
115,135,78
116,138,77
117,138,77
118,145,81
119,135,78
120,121,84
121,122,82
122,122,64
123,88,52
124,101,76
125,103,81
126,75,61
127,82,75
128,76,69
129,80,76
130,99,80
131,101,78
132,90,73
133,104,79
134,102,77
135,92,81
136,89,87
137,82,86
138,93,83
139,73,82
140,85,78
141,86,74
142,69,55
143,65,46
