Turn,Happiness,Load
0,0.0,237.0
1,0.0,237.0
2,0.0,237.0
3,0.0,237.0
4,0.0,260.0
5,8.0,305.0
6,23.0,326.0
7,30.0,345.0
8,26.0,353.0
9,29.0,359.0
10,33.0,379.0
11,76.0,386.0
12,105.0,391.0
13,131.0,389.0
14,345.0,395.0
15,365.0,405.0
16,373.0,339.0
17,335.0,367.0
18,373.0,379.0
19,387.0,393.0
20,406.0,398.0
21,411.0,405.0
22,409.0,422.0
23,411.0,425.0
24,420.0,413.0
25,418.0,405.0
26,425.0,421.0
27,421.0,362.0
28,519.0,368.0
29,496.0,367.0
30,495.0,360.0
31,474.0,391.0
32,480.0,383.0
33,447.0,392.0
34,447.0,395.0
35,445.0,406.0
36,440.0,411.0
37,441.0,411.0
38,442.0,405.0
39,439.0,417.0
40,436.0,365.0
41,428.0,352.0
42,404.0,378.0
43,416.0,369.0
44,395.0,347.0
45,363.0,382.0
46,378.0,391.0
47,382.0,405.0
48,401.0,377.0
49,340.0,413.0
50,333.0,409.0
51,320.0,419.0
52,281.0,403.0
53,288.0,380.0
54,254.0,370.0
55,228.0,368.0
56,221.0,366.0
57,178.0,391.0
58,195.0,411.0
59,190.0,344.0
60,158.0,355.0
61,172.0,331.0
62,171.0,341.0
63,183.0,365.0
64,209.0,365.0
65,209.0,345.0
66,208.0,362.0
67,230.0,388.0
68,245.0,408.0
69,250.0,417.0
70,250.0,413.0
71,257.0,416.0
72,287.0,433.0
73,312.0,401.0
74,308.0,423.0
75,323.0,412.0
76,325.0,408.0
77,344.0,438.0
78,362.0,416.0
79,422.0,406.0
80,441.0,383.0
81,418.0,406.0
82,429.0,409.0
83,427.0,404.0
84,443.0,399.0
85,452.0,404.0
86,458.0,406.0
87,463.0,382.0
88,451.0,380.0
89,412.0,393.0
90,422.0,387.0
91,426.0,346.0
92,400.0,343.0
93,391.0,356.0
94,409.0,381.0
95,423.0,403.0
96,434.0,416.0
97,443.0,387.0
98,462.0,380.0
99,452.0,389.0
100,420.0,407.0
101,419.0,397.0
102,377.0,411.0
103,368.0,409.0
104,378.0,387.0
105,339.0,353.0
106,289.0,350.0
107,243.0,393.0
108,276.0,390.0
109,274.0,362.0
110,246.0,352.0
111,216.0,375.0
112,232.0,330.0
113,214.0,350.0
114,207.0,363.0
115,187.0,370.0
116,219.0,372.0
117,211.0,380.0
118,227.0,350.0
119,192.0,366.0
120,202.0,353.0
121,149.0,346.0
122,136.0,370.0
123,156.0,379.0
124,157.0,391.0
125,166.0,385.0
126,189.0,379.0
127,172.0,409.0
128,196.0,389.0
129,165.0,388.0
130,139.0,390.0
131,149.0,387.0
132,139.0,401.0
133,158.0,394.0
134,160.0,384.0
135,153.0,384.0
136,172.0,379.0
137,137.0,397.0
138,186.0,411.0
139,204.0,355.0
140,167.0,332.0
141,132.0,301.0
142,80.0,265.0
143,65.0,246.0
