Turn,Happiness,Load
0,85,53
1,85,53
2,85,53
3,85,53
4,85,53
5,82,70
6,56,79
7,56,79
8,14,82
9,10,82
10,9,79
11,4,77
12,4,76
13,1,78
14,0,84
15,0,78
16,0,78
17,0,78
18,0,80
19,0,87
20,0,80
21,0,75
22,0,80
23,0,77
24,0,84
25,0,79
26,0,80
27,0,88
28,0,82
29,0,82
30,0,78
31,0,75
32,0,73
33,0,77
34,0,76
35,0,76
36,0,78
37,0,78
38,0,81
39,0,81
40,0,76
41,1,76
42,0,85
43,0,79
44,0,79
45,0,84
46,0,84
47,0,80
48,4,84
49,4,84
50,4,84
51,4,84
52,4,84
53,4,84
54,4,84
55,4,84
56,4,84
57,21,82
58,23,80
59,3,78
60,3,78
61,4,79
62,8,87
63,13,80
64,13,80
65,13,80
66,13,80
67,13,82
68,13,82
69,13,82
70,13,82
71,13,82
72,13,82
73,13,82
74,13,82
75,13,82
76,13,82
77,13,82
78,13,82
79,51,82
80,53,89
81,57,89
82,57,89
83,79,83
84,89,84
85,67,82
86,71,78
87,77,81
88,77,81
89,77,81
90,83,78
91,87,80
92,87,80
93,87,80
94,87,80
95,109,81
96,98,77
97,109,78
98,113,79
99,137,83
100,147,79
101,139,79
102,160,90
103,160,90
104,182,88
105,187,83
106,198,82
107,53,83
108,45,79
109,53,82
110,53,82
111,41,77
112,45,78
113,44,79
114,46,81
115,12,82
116,5,76
117,15,79
118,15,79
119,19,83
120,20,83
121,17,80
122,27,79
123,27,79
124,24,78
125,23,79
126,20,79
127,32,81
128,32,81
129,32,81
130,32,81
131,25,85
132,24,80
133,24,80
134,24,79
135,34,77
136,34,77
137,0,75
138,11,85
139,11,85
140,11,85
141,11,85
142,11,85
143,11,85
