Turn,Happiness,Load
0,0.0,239.0
1,0.0,239.0
2,0.0,239.0
3,0.0,255.0
4,4.0,297.0
5,19.0,334.0
6,24.0,374.0
7,59.0,402.0
8,417.0,403.0
9,464.0,408.0
10,467.0,396.0
11,469.0,351.0
12,343.0,360.0
13,365.0,361.0
14,373.0,377.0
15,367.0,394.0
16,377.0,393.0
17,398.0,404.0
18,397.0,401.0
19,389.0,398.0
20,401.0,397.0
21,406.0,400.0
22,407.0,401.0
23,417.0,396.0
24,420.0,394.0
25,449.0,393.0
26,443.0,400.0
27,464.0,433.0
28,447.0,434.0
29,440.0,414.0
30,441.0,409.0
31,429.0,420.0
32,437.0,410.0
33,439.0,410.0
34,439.0,410.0
35,439.0,415.0
36,442.0,351.0
37,398.0,372.0
38,407.0,375.0
39,406.0,400.0
40,406.0,395.0
41,401.0,392.0
42,386.0,383.0
43,344.0,389.0
44,337.0,406.0
45,320.0,416.0
46,322.0,412.0
47,319.0,410.0
48,319.0,405.0
49,307.0,408.0
50,307.0,419.0
51,314.0,418.0
52,311.0,439.0
53,316.0,425.0
54,312.0,415.0
55,322.0,352.0
56,170.0,361.0
57,219.0,371.0
58,225.0,389.0
59,240.0,391.0
60,223.0,395.0
61,233.0,400.0
62,224.0,401.0
63,219.0,415.0
64,229.0,422.0
65,231.0,417.0
66,228.0,422.0
67,240.0,421.0
68,249.0,410.0
69,255.0,414.0
70,259.0,409.0
71,258.0,407.0
72,257.0,416.0
73,268.0,431.0
74,276.0,417.0
75,285.0,411.0
76,303.0,412.0
77,302.0,400.0
78,388.0,400.0
79,388.0,403.0
80,403.0,406.0
81,418.0,412.0
82,426.0,401.0
83,430.0,405.0
84,471.0,403.0
85,481.0,405.0
86,497.0,350.0
87,369.0,374.0
88,399.0,374.0
89,399.0,378.0
90,400.0,375.0
91,422.0,390.0
92,421.0,402.0
93,441.0,416.0
94,457.0,402.0
95,461.0,400.0
96,462.0,412.0
97,473.0,420.0
98,469.0,410.0
99,457.0,429.0
100,448.0,418.0
101,454.0,394.0
102,295.0,396.0
103,288.0,409.0
104,300.0,431.0
105,310.0,413.0
106,317.0,414.0
107,335.0,417.0
108,350.0,416.0
109,351.0,409.0
110,337.0,413.0
111,329.0,423.0
112,343.0,378.0
113,186.0,397.0
114,196.0,405.0
115,204.0,408.0
116,220.0,411.0
117,221.0,411.0
118,216.0,425.0
119,240.0,416.0
120,229.0,399.0
121,234.0,410.0
122,240.0,403.0
123,243.0,402.0
124,239.0,395.0
125,216.0,405.0
126,227.0,405.0
127,219.0,396.0
128,214.0,396.0
129,214.0,396.0
130,222.0,396.0
131,236.0,407.0
132,248.0,400.0
133,268.0,386.0
134,154.0,383.0
135,158.0,390.0
136,158.0,407.0
137,153.0,401.0
138,156.0,409.0
139,178.0,409.0
140,180.0,409.0
141,180.0,409.0
142,180.0,409.0
143,180.0,409.0
