Turn,Happiness,Load
0,67,48
1,67,48
2,67,48
3,67,48
4,71,58
5,63,69
6,60,74
7,59,74
8,64,82
9,74,80
10,65,82
11,71,78
12,67,75
13,68,78
14,68,79
15,70,81
16,70,78
17,70,78
18,70,78
19,71,74
20,71,74
21,75,74
22,79,76
23,87,84
24,78,73
25,78,73
26,78,73
27,76,73
28,76,73
29,76,77
30,79,76
31,78,81
32,76,76
33,80,84
34,75,77
35,73,75
36,71,80
37,71,78
38,70,78
39,72,76
40,69,76
41,73,80
42,69,81
43,70,91
44,59,81
45,59,79
46,59,77
47,59,77
48,61,72
49,61,72
50,54,80
51,55,76
52,49,75
53,52,78
54,51,80
55,48,76
56,56,80
57,66,83
58,67,80
59,67,80
60,67,80
61,67,80
62,67,80
63,67,80
64,70,87
65,70,87
66,64,78
67,79,84
68,80,83
69,87,76
70,86,75
71,89,77
72,88,75
73,93,72
74,104,76
75,100,78
76,98,77
77,102,78
78,102,78
79,112,73
80,122,74
81,121,81
82,124,79
83,124,79
84,124,79
85,124,79
86,124,79
87,124,79
88,124,79
89,124,79
90,133,78
91,140,74
92,124,75
93,124,75
94,131,74
95,125,75
96,120,74
97,127,77
98,125,75
99,134,67
100,125,75
101,127,78
102,109,75
103,101,74
104,105,77
105,109,77
106,108,81
107,108,81
108,108,81
109,116,84
110,116,84
111,116,84
112,116,84
113,116,84
114,113,82
115,112,88
116,105,76
117,105,76
118,105,76
119,105,76
120,100,80
121,90,77
122,93,86
123,90,78
124,90,78
125,88,82
126,88,82
127,88,82
128,81,78
129,83,78
130,86,82
131,84,76
132,84,76
133,82,77
134,90,79
135,93,83
136,93,83
137,93,83
138,93,83
139,94,77
140,94,77
141,94,77
142,94,77
143,94,77
