Turn,Happiness,Load
0,334.0,259.0
1,310.0,259.0
2,300.0,261.0
3,300.0,263.0
4,300.0,300.0
5,248.0,315.0
6,190.0,354.0
7,200.0,388.0
8,448.0,396.0
9,456.0,413.0
10,449.0,408.0
11,440.0,414.0
12,443.0,423.0
13,430.0,421.0
14,429.0,383.0
15,444.0,367.0
16,460.0,368.0
17,453.0,382.0
18,465.0,381.0
19,465.0,389.0
20,455.0,383.0
21,474.0,375.0
22,494.0,382.0
23,478.0,393.0
24,493.0,411.0
25,499.0,392.0
26,493.0,410.0
27,499.0,407.0
28,493.0,415.0
29,502.0,400.0
30,498.0,428.0
31,511.0,426.0
32,502.0,409.0
33,484.0,419.0
34,493.0,427.0
35,492.0,403.0
36,480.0,388.0
37,484.0,397.0
38,505.0,389.0
39,479.0,408.0
40,470.0,424.0
41,476.0,403.0
42,460.0,393.0
43,453.0,406.0
44,443.0,409.0
45,424.0,421.0
46,398.0,412.0
47,389.0,416.0
48,366.0,412.0
49,340.0,411.0
50,324.0,413.0
51,331.0,425.0
52,312.0,419.0
53,311.0,432.0
54,307.0,422.0
55,299.0,420.0
56,293.0,391.0
57,381.0,420.0
58,352.0,414.0
59,337.0,411.0
60,303.0,410.0
61,306.0,404.0
62,309.0,427.0
63,290.0,415.0
64,291.0,412.0
65,287.0,410.0
66,291.0,406.0
67,290.0,398.0
68,303.0,393.0
69,308.0,400.0
70,310.0,406.0
71,307.0,401.0
72,331.0,409.0
73,332.0,369.0
74,465.0,397.0
75,484.0,408.0
76,463.0,398.0
77,464.0,404.0
78,465.0,381.0
79,488.0,389.0
80,525.0,408.0
81,508.0,437.0
82,547.0,426.0
83,570.0,418.0
84,565.0,417.0
85,550.0,404.0
86,532.0,410.0
87,488.0,406.0
88,487.0,401.0
89,475.0,415.0
90,451.0,402.0
91,449.0,400.0
92,449.0,400.0
93,429.0,395.0
94,416.0,409.0
95,400.0,414.0
96,388.0,402.0
97,376.0,407.0
98,370.0,417.0
99,346.0,414.0
100,349.0,408.0
101,344.0,408.0
102,345.0,400.0
103,324.0,399.0
104,316.0,410.0
105,297.0,413.0
106,288.0,402.0
107,581.0,403.0
108,565.0,401.0
109,546.0,422.0
110,511.0,414.0
111,487.0,393.0
112,458.0,389.0
113,451.0,390.0
114,438.0,409.0
115,433.0,407.0
116,426.0,417.0
117,408.0,409.0
118,576.0,397.0
119,537.0,378.0
120,548.0,386.0
121,497.0,395.0
122,472.0,388.0
123,459.0,408.0
124,417.0,425.0
125,362.0,414.0
126,329.0,406.0
127,313.0,411.0
128,297.0,407.0
129,295.0,400.0
130,508.0,398.0
131,501.0,383.0
132,489.0,409.0
133,454.0,406.0
134,442.0,399.0
135,439.0,402.0
136,471.0,401.0
137,561.0,404.0
138,509.0,411.0
139,481.0,358.0
140,434.0,364.0
141,431.0,364.0
142,431.0,364.0
143,431.0,364.0
