Turn,Happiness,Load
0,0,56
1,0,56
2,0,56
3,0,56
4,0,73
5,0,74
6,1,79
7,2,86
8,5,84
9,5,84
10,8,89
11,10,87
12,16,84
13,17,86
14,22,87
15,24,95
16,29,88
17,33,88
18,35,79
19,40,77
20,44,76
21,50,85
22,51,79
23,62,91
24,26,75
25,34,75
26,34,75
27,36,78
28,39,86
29,39,86
30,53,75
31,57,82
32,56,77
33,56,77
34,57,83
35,54,78
36,58,79
37,70,79
38,75,82
39,95,75
40,102,75
41,102,75
42,105,77
43,107,79
44,144,75
45,130,77
46,125,79
47,121,81
48,123,82
49,140,83
50,154,82
51,142,81
52,146,82
53,140,82
54,135,80
55,143,79
56,141,78
57,131,82
58,238,80
59,233,45
60,233,45
61,191,31
62,191,31
63,191,31
64,191,31
65,191,31
66,191,31
67,191,31
68,213,76
69,213,76
70,213,76
71,213,76
72,213,79
73,213,79
74,251,82
75,230,81
76,219,78
77,212,77
78,232,83
79,225,83
80,275,77
81,245,76
82,243,80
83,229,78
84,243,77
85,241,77
86,226,83
87,156,77
88,141,77
89,185,73
90,172,75
91,179,66
92,179,66
93,179,66
94,155,75
95,150,77
96,143,76
97,124,80
98,142,76
99,89,78
100,62,78
101,61,80
102,59,82
103,57,82
104,41,82
105,46,75
106,47,73
107,34,83
108,22,84
109,14,82
110,14,82
111,19,85
112,36,73
113,27,76
114,18,83
115,11,87
116,5,75
117,2,75
118,10,75
119,10,79
120,6,75
121,10,75
122,10,75
123,13,81
124,13,81
125,13,83
126,13,83
127,13,83
128,11,81
129,9,87
130,9,87
131,9,87
132,23,79
133,23,83
134,27,80
135,21,80
136,18,76
137,14,79
138,35,80
139,14,75
140,14,75
141,22,75
142,25,75
143,25,67
