Turn,Happiness,Load
0,0.0,234.0
1,0.0,234.0
2,0.0,234.0
3,0.0,234.0
4,0.0,281.0
5,8.0,326.0
6,16.0,346.0
7,24.0,393.0
8,45.0,397.0
9,100.0,383.0
10,589.0,386.0
11,584.0,406.0
12,550.0,410.0
13,551.0,407.0
14,549.0,367.0
15,662.0,382.0
16,648.0,354.0
17,623.0,371.0
18,611.0,391.0
19,606.0,394.0
20,597.0,331.0
21,565.0,323.0
22,552.0,342.0
23,539.0,334.0
24,545.0,350.0
25,545.0,352.0
26,539.0,360.0
27,546.0,413.0
28,544.0,418.0
29,542.0,411.0
30,540.0,408.0
31,535.0,423.0
32,529.0,407.0
33,524.0,395.0
34,525.0,395.0
35,528.0,411.0
36,505.0,404.0
37,510.0,400.0
38,514.0,370.0
39,596.0,342.0
40,534.0,353.0
41,532.0,360.0
42,525.0,367.0
43,514.0,408.0
44,468.0,427.0
45,464.0,429.0
46,461.0,429.0
47,459.0,358.0
48,438.0,359.0
49,423.0,367.0
50,418.0,396.0
51,400.0,377.0
52,394.0,375.0
53,358.0,365.0
54,341.0,399.0
55,317.0,413.0
56,321.0,417.0
57,313.0,420.0
58,297.0,429.0
59,282.0,432.0
60,291.0,444.0
61,277.0,438.0
62,271.0,443.0
63,268.0,386.0
64,413.0,394.0
65,366.0,388.0
66,407.0,392.0
67,397.0,403.0
68,413.0,399.0
69,405.0,400.0
70,398.0,401.0
71,398.0,415.0
72,380.0,416.0
73,381.0,422.0
74,380.0,434.0
75,375.0,431.0
76,376.0,425.0
77,418.0,447.0
78,412.0,444.0
79,417.0,427.0
80,424.0,432.0
81,428.0,426.0
82,431.0,432.0
83,436.0,424.0
84,439.0,423.0
85,440.0,417.0
86,459.0,425.0
87,453.0,419.0
88,432.0,420.0
89,433.0,411.0
90,434.0,410.0
91,447.0,423.0
92,445.0,436.0
93,428.0,436.0
94,428.0,422.0
95,423.0,420.0
96,417.0,411.0
97,413.0,417.0
98,409.0,417.0
99,409.0,416.0
100,400.0,415.0
101,400.0,425.0
102,411.0,419.0
103,407.0,417.0
104,402.0,437.0
105,378.0,426.0
106,390.0,373.0
107,417.0,360.0
108,377.0,355.0
109,354.0,350.0
110,352.0,349.0
111,350.0,361.0
112,339.0,383.0
113,334.0,385.0
114,330.0,352.0
115,301.0,370.0
116,290.0,383.0
117,283.0,398.0
118,283.0,351.0
119,279.0,357.0
120,269.0,392.0
121,243.0,392.0
122,236.0,397.0
123,236.0,399.0
124,228.0,399.0
125,227.0,394.0
126,231.0,392.0
127,232.0,399.0
128,221.0,403.0
129,202.0,396.0
130,202.0,396.0
131,202.0,400.0
132,202.0,395.0
133,215.0,337.0
134,195.0,342.0
135,195.0,339.0
136,192.0,388.0
137,188.0,393.0
138,180.0,395.0
139,177.0,399.0
140,172.0,305.0
141,146.0,277.0
142,103.0,257.0
143,91.0,242.0
