Turn,Happiness,Load
0,0,56
1,0,56
2,0,56
3,0,56
4,0,72
5,0,73
6,0,73
7,0,73
8,0,73
9,0,73
10,0,71
11,0,71
12,0,71
13,0,71
14,0,71
15,0,71
16,0,71
17,0,71
18,0,71
19,0,70
20,0,70
21,0,70
22,0,70
23,0,70
24,207,74
25,156,58
26,156,58
27,156,58
28,156,58
29,156,58
30,205,60
31,205,60
32,156,78
33,156,78
34,156,78
35,156,78
36,156,78
37,156,78
38,156,78
39,156,78
40,156,78
41,156,78
42,156,78
43,156,78
44,154,47
45,154,47
46,154,47
47,219,75
48,153,77
49,138,83
50,136,81
51,85,80
52,85,80
53,66,75
54,45,70
55,45,70
56,22,73
57,24,80
58,15,80
59,21,73
60,19,78
61,15,80
62,8,78
63,6,91
64,21,75
65,25,75
66,15,82
67,13,75
68,9,87
69,5,87
70,3,85
71,2,87
72,0,93
73,3,81
74,1,90
75,1,95
76,4,75
77,2,92
78,0,86
79,0,86
80,11,75
81,9,87
82,9,89
83,3,78
84,3,80
85,0,79
86,1,79
87,0,86
88,0,82
89,1,83
90,0,78
91,0,86
92,0,75
93,0,88
94,0,75
95,0,75
96,0,80
97,0,81
98,1,85
99,2,79
100,0,86
101,0,79
102,0,82
103,1,76
104,0,75
105,0,75
106,0,75
107,0,101
108,0,88
109,0,88
110,1,80
111,0,86
112,0,75
113,0,74
114,0,75
115,0,75
116,0,75
117,0,73
118,0,75
119,0,73
120,0,75
121,0,75
122,0,95
123,0,92
124,0,75
125,0,77
126,0,78
127,0,78
128,4,78
129,0,76
130,0,78
131,1,80
132,0,85
133,0,87
134,0,90
135,1,87
136,0,88
137,1,87
138,16,83
139,23,75
140,5,75
141,0,75
142,0,67
143,0,59
