Turn,Happiness,Load
0,0.0,246.0
1,0.0,246.0
2,0.0,246.0
3,0.0,257.0
4,0.0,280.0
5,11.0,343.0
6,37.0,348.0
7,37.0,354.0
8,35.0,348.0
9,38.0,359.0
10,39.0,367.0
11,40.0,357.0
12,50.0,333.0
13,87.0,338.0
14,113.0,347.0
15,118.0,367.0
16,204.0,363.0
17,210.0,367.0
18,214.0,360.0
19,214.0,359.0
20,218.0,378.0
21,226.0,374.0
22,457.0,370.0
23,427.0,400.0
24,416.0,405.0
25,444.0,420.0
26,439.0,423.0
27,446.0,359.0
28,484.0,352.0
29,468.0,341.0
30,416.0,368.0
31,412.0,388.0
32,511.0,405.0
33,485.0,399.0
34,439.0,417.0
35,420.0,383.0
36,446.0,409.0
37,428.0,405.0
38,438.0,416.0
39,423.0,406.0
40,421.0,398.0
41,412.0,402.0
42,407.0,382.0
43,439.0,382.0
44,419.0,374.0
45,418.0,403.0
46,395.0,394.0
47,390.0,388.0
48,363.0,393.0
49,363.0,389.0
50,350.0,384.0
51,347.0,380.0
52,294.0,362.0
53,219.0,361.0
54,211.0,407.0
55,208.0,393.0
56,190.0,392.0
57,191.0,398.0
58,190.0,399.0
59,178.0,399.0
60,185.0,422.0
61,174.0,415.0
62,193.0,359.0
63,184.0,392.0
64,177.0,365.0
65,224.0,389.0
66,223.0,409.0
67,290.0,371.0
68,287.0,403.0
69,282.0,399.0
70,277.0,415.0
71,272.0,405.0
72,281.0,416.0
73,280.0,416.0
74,266.0,396.0
75,272.0,408.0
76,275.0,415.0
77,285.0,412.0
78,290.0,407.0
79,290.0,365.0
80,456.0,389.0
81,439.0,379.0
82,440.0,376.0
83,439.0,387.0
84,434.0,394.0
85,441.0,387.0
86,448.0,395.0
87,440.0,367.0
88,438.0,388.0
89,432.0,395.0
90,429.0,395.0
91,412.0,345.0
92,377.0,366.0
93,347.0,391.0
94,340.0,379.0
95,407.0,376.0
96,379.0,356.0
97,342.0,368.0
98,320.0,371.0
99,315.0,388.0
100,302.0,394.0
101,296.0,400.0
102,285.0,404.0
103,280.0,410.0
104,285.0,371.0
105,267.0,371.0
106,267.0,392.0
107,256.0,347.0
108,183.0,361.0
109,177.0,367.0
110,169.0,359.0
111,215.0,388.0
112,212.0,404.0
113,205.0,404.0
114,202.0,370.0
115,181.0,386.0
116,176.0,384.0
117,176.0,402.0
118,176.0,395.0
119,180.0,404.0
120,178.0,373.0
121,164.0,387.0
122,157.0,409.0
123,144.0,412.0
124,141.0,415.0
125,138.0,417.0
126,139.0,395.0
127,141.0,342.0
128,123.0,353.0
129,124.0,357.0
130,124.0,392.0
131,113.0,406.0
132,111.0,392.0
133,113.0,406.0
134,117.0,419.0
135,118.0,423.0
136,118.0,409.0
137,126.0,410.0
138,124.0,402.0
139,123.0,390.0
140,124.0,390.0
141,124.0,285.0
142,103.0,263.0
143,70.0,250.0
