Turn,Happiness,Load
0,90,57
1,90,57
2,90,57
3,90,68
4,90,68
5,87,74
6,87,74
7,2,81
8,3,77
9,2,81
10,3,86
11,5,86
12,5,85
13,9,84
14,11,82
15,17,85
16,17,85
17,17,85
18,28,81
19,27,84
20,35,84
21,19,75
22,22,83
23,22,83
24,22,83
25,22,83
26,22,83
27,58,78
28,59,76
29,59,76
30,67,77
31,69,81
32,75,76
33,80,86
34,86,86
35,83,85
36,83,85
37,97,79
38,92,77
39,92,77
40,96,77
41,96,79
42,98,78
43,98,78
44,98,76
45,103,76
46,108,80
47,97,77
48,128,74
49,123,75
50,117,75
51,124,79
52,124,79
53,124,79
54,124,79
55,124,79
56,124,79
57,131,77
58,127,77
59,127,77
60,127,77
61,127,77
62,134,87
63,138,78
64,138,78
65,138,78
66,138,78
67,138,78
68,138,78
69,138,78
70,138,78
71,138,78
72,201,77
73,201,77
74,178,75
75,156,75
76,138,76
77,136,76
78,136,76
79,136,76
80,136,76
81,113,76
82,111,78
83,148,80
84,135,75
85,142,78
86,142,78
87,142,78
88,165,75
89,143,78
90,143,78
91,143,78
92,149,80
93,149,80
94,149,80
95,109,77
96,85,76
97,62,79
98,42,79
99,37,79
100,106,76
101,86,84
102,70,80
103,65,81
104,65,81
105,51,80
106,51,80
107,51,80
108,51,80
109,51,80
110,51,80
111,51,80
112,51,80
113,51,80
114,51,80
115,51,80
116,51,83
117,31,78
118,95,81
119,95,82
120,53,79
121,53,79
122,49,76
123,29,78
124,27,76
125,23,75
126,20,75
127,12,79
128,12,79
129,12,79
130,8,77
131,7,76
132,7,87
133,4,80
134,4,83
135,4,86
136,4,86
137,4,86
138,4,88
139,4,88
140,4,88
141,4,88
142,4,88
143,4,88
