Turn,Happiness,Load
0,375.0,246.0
1,375.0,246.0
2,375.0,246.0
3,375.0,246.0
4,375.0,281.0
5,356.0,301.0
6,297.0,317.0
7,295.0,357.0
8,247.0,361.0
9,241.0,366.0
10,239.0,362.0
11,247.0,358.0
12,243.0,350.0
13,245.0,394.0
14,253.0,386.0
15,254.0,407.0
16,321.0,399.0
17,315.0,399.0
18,315.0,394.0
19,315.0,404.0
20,315.0,376.0
21,453.0,378.0
22,453.0,388.0
23,444.0,403.0
24,448.0,405.0
25,471.0,413.0
26,464.0,406.0
27,467.0,402.0
28,471.0,412.0
29,477.0,406.0
30,478.0,411.0
31,481.0,388.0
32,503.0,412.0
33,495.0,420.0
34,484.0,417.0
35,463.0,419.0
36,456.0,426.0
37,443.0,435.0
38,424.0,394.0
39,384.0,404.0
40,364.0,410.0
41,361.0,402.0
42,355.0,414.0
43,351.0,382.0
44,352.0,387.0
45,347.0,413.0
46,328.0,400.0
47,319.0,401.0
48,307.0,403.0
49,301.0,400.0
50,294.0,395.0
51,246.0,403.0
52,240.0,400.0
53,234.0,396.0
54,231.0,411.0
55,210.0,390.0
56,204.0,383.0
57,206.0,397.0
58,206.0,409.0
59,199.0,395.0
60,186.0,382.0
61,203.0,404.0
62,201.0,398.0
63,199.0,413.0
64,195.0,408.0
65,193.0,402.0
66,198.0,421.0
67,193.0,418.0
68,193.0,415.0
69,198.0,397.0
70,322.0,400.0
71,320.0,405.0
72,324.0,416.0
73,322.0,416.0
74,309.0,411.0
75,313.0,413.0
76,311.0,424.0
77,318.0,423.0
78,325.0,342.0
79,335.0,377.0
80,330.0,381.0
81,406.0,381.0
82,406.0,381.0
83,394.0,397.0
84,386.0,413.0
85,368.0,400.0
86,380.0,403.0
87,370.0,406.0
88,375.0,414.0
89,377.0,417.0
90,360.0,404.0
91,360.0,399.0
92,360.0,406.0
93,357.0,388.0
94,384.0,402.0
95,372.0,416.0
96,376.0,391.0
97,379.0,396.0
98,384.0,398.0
99,393.0,394.0
100,393.0,405.0
101,354.0,399.0
102,280.0,396.0
103,279.0,403.0
104,279.0,406.0
105,284.0,399.0
106,280.0,386.0
107,271.0,386.0
108,249.0,386.0
109,238.0,392.0
110,227.0,398.0
111,222.0,402.0
112,203.0,417.0
113,189.0,415.0
114,182.0,423.0
115,182.0,423.0
116,181.0,409.0
117,186.0,390.0
118,184.0,407.0
119,179.0,387.0
120,190.0,388.0
121,183.0,404.0
122,177.0,415.0
123,171.0,421.0
124,163.0,421.0
125,165.0,422.0
126,163.0,410.0
127,163.0,403.0
128,143.0,400.0
129,150.0,394.0
130,133.0,408.0
131,128.0,399.0
132,121.0,394.0
133,122.0,410.0
134,122.0,405.0
135,126.0,412.0
136,126.0,413.0
137,128.0,416.0
138,130.0,415.0
139,124.0,406.0
140,130.0,406.0
141,130.0,406.0
142,130.0,406.0
143,130.0,406.0
