Turn,Happiness,Load
0,102,51
1,102,51
2,102,51
3,102,51
4,102,51
5,102,51
6,102,51
7,102,66
8,103,72
9,94,82
10,10,78
11,7,70
12,12,73
13,17,68
14,14,71
15,12,71
16,14,72
17,15,80
18,35,72
19,27,72
20,42,74
21,44,73
22,46,83
23,54,73
24,53,70
25,53,70
26,53,70
27,53,70
28,56,76
29,56,76
30,72,70
31,72,70
32,72,70
33,94,71
34,98,79
35,102,71
36,108,77
37,103,72
38,103,72
39,109,68
40,106,74
41,109,82
42,119,76
43,124,77
44,124,77
45,127,68
46,120,68
47,132,70
48,139,77
49,138,74
50,131,79
51,140,76
52,135,73
53,135,78
54,148,80
55,142,78
56,152,85
57,146,82
58,151,78
59,153,74
60,159,72
61,157,69
62,153,71
63,152,77
64,154,76
65,165,69
66,165,74
67,166,78
68,166,78
69,167,68
70,167,68
71,167,68
72,167,68
73,177,75
74,176,79
75,181,77
76,181,77
77,192,84
78,178,78
79,180,81
80,170,82
81,171,83
82,176,79
83,176,79
84,181,69
85,178,69
86,178,69
87,171,69
88,171,69
89,171,69
90,182,84
91,182,84
92,162,80
93,162,80
94,166,84
95,166,84
96,177,71
97,142,72
98,137,76
99,136,77
100,128,77
101,144,67
102,125,67
103,125,67
104,125,67
105,125,67
106,131,75
107,124,80
108,115,80
109,97,79
110,97,79
111,97,79
112,97,79
113,97,79
114,97,79
115,97,79
116,121,72
117,125,74
118,98,79
119,115,73
120,113,72
121,93,68
122,98,71
123,98,71
124,98,71
125,107,67
126,106,72
127,94,73
128,94,73
129,98,82
130,96,76
131,111,78
132,111,78
133,109,76
134,105,78
135,105,78
136,105,78
137,105,78
138,119,72
139,95,69
140,95,69
141,95,69
142,95,69
143,95,69
