Turn,Happiness,Load
0,0,55
1,0,55
2,0,55
3,0,55
4,0,55
5,3,78
6,70,86
7,78,87
8,76,93
9,71,92
10,71,89
11,64,90
12,71,83
13,71,89
14,67,90
15,76,83
16,73,83
17,67,76
18,67,84
19,68,75
20,71,82
21,69,85
22,73,88
23,65,84
24,69,88
25,68,86
26,64,80
27,75,84
28,74,83
29,78,89
30,66,79
31,70,79
32,65,82
33,70,87
34,52,79
35,67,82
36,67,82
37,71,83
38,69,87
39,58,78
40,64,81
41,64,81
42,68,83
43,70,84
44,74,86
45,67,80
46,66,85
47,57,75
48,59,77
49,55,75
50,50,75
51,52,77
52,53,80
53,55,81
54,58,84
55,58,84
56,58,84
57,58,87
58,59,88
59,64,82
60,71,81
61,71,81
62,74,82
63,64,82
64,59,85
65,60,85
66,99,83
67,93,83
68,87,79
69,91,79
70,88,85
71,92,79
72,101,82
73,102,85
74,110,92
75,102,78
76,128,80
77,132,81
78,121,78
79,121,78
80,129,84
81,137,83
82,117,86
83,124,83
84,130,80
85,128,84
86,122,79
87,124,77
88,115,78
89,112,85
90,121,83
91,111,75
92,107,78
93,123,76
94,146,82
95,148,81
96,143,82
97,145,81
98,139,81
99,159,79
100,147,83
101,171,76
102,181,77
103,166,79
104,163,80
105,172,78
106,174,80
107,223,75
108,210,77
109,204,85
110,193,78
111,185,81
112,191,81
113,167,80
114,161,84
115,164,89
116,172,81
117,188,80
118,191,81
119,163,81
120,165,78
121,219,75
122,211,82
123,216,75
124,195,87
125,192,78
126,147,83
127,134,85
128,155,82
129,134,84
130,153,82
131,144,82
132,113,88
133,103,84
134,127,82
135,152,80
136,147,88
137,179,72
138,157,71
139,118,53
140,104,44
141,51,29
142,34,21
143,35,21
