Turn,Happiness,Load
0,0.0,261.0
1,0.0,261.0
2,0.0,265.0
3,0.0,286.0
4,3.0,313.0
5,17.0,328.0
6,21.0,391.0
7,133.0,401.0
8,294.0,395.0
9,473.0,401.0
10,460.0,400.0
11,466.0,404.0
12,464.0,413.0
13,477.0,424.0
14,458.0,386.0
15,597.0,387.0
16,576.0,393.0
17,570.0,424.0
18,565.0,416.0
19,545.0,437.0
20,531.0,434.0
21,561.0,399.0
22,602.0,413.0
23,583.0,414.0
24,568.0,406.0
25,593.0,399.0
26,592.0,403.0
27,600.0,414.0
28,583.0,411.0
29,574.0,421.0
30,556.0,387.0
31,632.0,381.0
32,644.0,392.0
33,616.0,386.0
34,617.0,389.0
35,612.0,399.0
36,592.0,382.0
37,606.0,407.0
38,574.0,413.0
39,545.0,419.0
40,538.0,347.0
41,533.0,390.0
42,541.0,407.0
43,527.0,410.0
44,523.0,409.0
45,510.0,432.0
46,480.0,409.0
47,469.0,410.0
48,465.0,437.0
49,434.0,402.0
50,453.0,402.0
51,386.0,406.0
52,366.0,403.0
53,386.0,414.0
54,341.0,421.0
55,331.0,431.0
56,341.0,440.0
57,333.0,415.0
58,317.0,393.0
59,352.0,384.0
60,351.0,389.0
61,330.0,390.0
62,336.0,391.0
63,321.0,409.0
64,315.0,423.0
65,327.0,403.0
66,359.0,392.0
67,383.0,351.0
68,364.0,333.0
69,306.0,347.0
70,320.0,382.0
71,325.0,380.0
72,325.0,377.0
73,426.0,392.0
74,435.0,414.0
75,463.0,428.0
76,435.0,401.0
77,414.0,432.0
78,462.0,427.0
79,472.0,436.0
80,458.0,423.0
81,476.0,402.0
82,493.0,424.0
83,509.0,411.0
84,519.0,421.0
85,511.0,403.0
86,517.0,401.0
87,525.0,424.0
88,557.0,410.0
89,540.0,433.0
90,565.0,414.0
91,560.0,379.0
92,546.0,383.0
93,556.0,387.0
94,563.0,390.0
95,559.0,377.0
96,562.0,381.0
97,525.0,395.0
98,519.0,410.0
99,521.0,355.0
100,502.0,385.0
101,517.0,373.0
102,504.0,377.0
103,496.0,395.0
104,491.0,365.0
105,448.0,388.0
106,451.0,377.0
107,467.0,403.0
108,456.0,413.0
109,428.0,401.0
110,408.0,420.0
111,430.0,391.0
112,404.0,385.0
113,358.0,375.0
114,354.0,404.0
115,383.0,412.0
116,356.0,410.0
117,334.0,404.0
118,363.0,401.0
119,338.0,412.0
120,349.0,384.0
121,334.0,378.0
122,320.0,377.0
123,312.0,377.0
124,281.0,391.0
125,281.0,423.0
126,309.0,404.0
127,321.0,393.0
128,275.0,403.0
129,313.0,406.0
130,271.0,417.0
131,282.0,397.0
132,257.0,410.0
133,268.0,397.0
134,223.0,411.0
135,228.0,392.0
136,256.0,391.0
137,231.0,412.0
138,245.0,408.0
139,273.0,376.0
140,251.0,338.0
141,190.0,318.0
142,165.0,285.0
143,103.0,267.0
