Turn,Happiness,Load
0,0,42
1,0,42
2,0,42
3,0,42
4,0,42
5,0,42
6,192,75
7,165,75
8,140,75
9,139,76
10,152,74
11,144,71
12,136,73
13,143,77
14,141,76
15,168,75
16,146,75
17,128,75
18,132,75
19,132,77
20,150,75
21,150,75
22,159,75
23,151,75
24,124,75
25,124,75
26,109,75
27,109,75
28,139,75
29,139,75
30,139,75
31,125,76
32,121,78
33,127,85
34,127,85
35,107,75
36,96,68
37,94,75
38,88,67
39,91,74
40,84,75
41,77,71
42,77,74
43,58,75
44,54,72
45,25,75
46,14,74
47,14,74
48,2,75
49,2,76
50,2,75
51,6,75
52,0,75
53,0,75
54,0,75
55,0,75
56,7,74
57,7,77
58,7,79
59,0,75
60,0,75
61,3,75
62,3,72
63,5,78
64,8,79
65,14,82
66,13,76
67,18,76
68,18,77
69,5,79
70,5,79
71,4,75
72,5,75
73,7,84
74,11,77
75,11,77
76,11,77
77,15,79
78,15,79
79,2,75
80,2,74
81,5,78
82,5,78
83,24,77
84,33,79
85,33,79
86,32,75
87,32,75
88,40,75
89,38,76
90,39,78
91,39,75
92,39,78
93,38,75
94,39,80
95,45,75
96,49,75
97,63,75
98,69,75
99,64,70
100,66,75
101,77,75
102,75,73
103,77,77
104,68,81
105,67,84
106,49,75
107,47,75
108,45,78
109,53,75
110,52,75
111,36,75
112,32,80
113,29,75
114,29,75
115,16,75
116,20,79
117,22,79
118,8,75
119,12,79
120,12,79
121,4,75
122,4,75
123,13,75
124,17,82
125,17,75
126,34,75
127,16,75
128,13,75
129,13,73
130,13,73
131,13,76
132,6,77
133,9,78
134,10,86
135,4,75
136,0,73
137,0,75
138,5,75
139,0,72
140,0,72
141,0,75
142,0,68
143,0,60
