Turn,Happiness,Load
0,0.0,250.0
1,0.0,250.0
2,0.0,250.0
3,0.0,250.0
4,0.0,290.0
5,11.0,349.0
6,27.0,365.0
7,34.0,384.0
8,114.0,400.0
9,272.0,401.0
10,400.0,404.0
11,399.0,399.0
12,420.0,364.0
13,375.0,369.0
14,375.0,377.0
15,387.0,343.0
16,351.0,330.0
17,346.0,364.0
18,384.0,387.0
19,398.0,399.0
20,392.0,389.0
21,459.0,375.0
22,445.0,387.0
23,450.0,385.0
24,443.0,401.0
25,457.0,397.0
26,465.0,412.0
27,469.0,409.0
28,525.0,378.0
29,482.0,355.0
30,449.0,366.0
31,464.0,403.0
32,472.0,409.0
33,494.0,417.0
34,471.0,426.0
35,478.0,379.0
36,466.0,383.0
37,460.0,385.0
38,446.0,395.0
39,425.0,397.0
40,428.0,399.0
41,431.0,395.0
42,445.0,413.0
43,443.0,404.0
44,438.0,393.0
45,446.0,381.0
46,397.0,401.0
47,377.0,405.0
48,373.0,407.0
49,375.0,402.0
50,386.0,405.0
51,389.0,381.0
52,348.0,388.0
53,358.0,406.0
54,303.0,406.0
55,312.0,404.0
56,315.0,368.0
57,265.0,384.0
58,268.0,369.0
59,209.0,380.0
60,194.0,377.0
61,175.0,392.0
62,193.0,389.0
63,204.0,361.0
64,199.0,387.0
65,242.0,387.0
66,232.0,398.0
67,242.0,368.0
68,209.0,381.0
69,232.0,401.0
70,241.0,410.0
71,250.0,424.0
72,257.0,429.0
73,269.0,404.0
74,269.0,399.0
75,277.0,394.0
76,319.0,395.0
77,338.0,362.0
78,300.0,383.0
79,319.0,389.0
80,330.0,396.0
81,338.0,395.0
82,365.0,412.0
83,369.0,422.0
84,387.0,396.0
85,414.0,401.0
86,422.0,406.0
87,423.0,409.0
88,425.0,415.0
89,438.0,429.0
90,447.0,397.0
91,546.0,364.0
92,505.0,367.0
93,498.0,365.0
94,482.0,362.0
95,472.0,381.0
96,490.0,390.0
97,492.0,366.0
98,487.0,401.0
99,512.0,385.0
100,452.0,392.0
101,444.0,396.0
102,426.0,408.0
103,440.0,416.0
104,446.0,415.0
105,439.0,396.0
106,409.0,395.0
107,361.0,403.0
108,368.0,395.0
109,386.0,378.0
110,356.0,394.0
111,363.0,395.0
112,293.0,385.0
113,268.0,378.0
114,263.0,387.0
115,238.0,377.0
116,239.0,356.0
117,219.0,394.0
118,244.0,390.0
119,241.0,379.0
120,235.0,393.0
121,217.0,395.0
122,231.0,390.0
123,217.0,375.0
124,214.0,374.0
125,190.0,396.0
126,219.0,401.0
127,186.0,423.0
128,201.0,413.0
129,180.0,422.0
130,191.0,433.0
131,198.0,416.0
132,211.0,397.0
133,163.0,421.0
134,189.0,395.0
135,188.0,405.0
136,203.0,377.0
137,158.0,383.0
138,166.0,365.0
139,151.0,342.0
140,136.0,326.0
141,133.0,294.0
142,121.0,282.0
143,101.0,258.0
