Turn,Happiness,Load
0,0,27
1,0,27
2,9,38
3,9,38
4,12,45
5,15,54
6,21,73
7,21,82
8,21,82
9,57,78
10,57,78
11,61,76
12,56,83
13,55,78
14,66,79
15,69,92
16,67,82
17,69,87
18,69,87
19,77,75
20,81,82
21,82,77
22,81,77
23,85,84
24,78,78
25,82,85
26,84,81
27,82,80
28,78,86
29,79,79
30,81,82
31,70,78
32,74,85
33,80,85
34,79,84
35,81,79
36,83,83
37,78,80
38,81,81
39,72,81
40,80,82
41,79,85
42,83,85
43,81,93
44,75,88
45,70,89
46,77,80
47,75,81
48,75,81
49,75,81
50,75,81
51,75,81
52,79,90
53,65,82
54,66,84
55,66,84
56,66,84
57,66,84
58,66,84
59,66,84
60,66,84
61,66,84
62,66,84
63,66,84
64,61,80
65,62,79
66,65,83
67,66,86
68,66,82
69,66,82
70,66,82
71,99,80
72,99,80
73,106,82
74,113,81
75,106,79
76,94,81
77,131,81
78,134,80
79,131,85
80,140,81
81,146,86
82,145,80
83,146,87
84,149,89
85,152,85
86,147,80
87,141,85
88,137,88
89,132,80
90,125,79
91,129,80
92,134,81
93,134,81
94,146,80
95,155,81
96,158,84
97,156,83
98,160,85
99,162,83
100,142,75
101,142,75
102,140,82
103,148,88
104,148,88
105,148,88
106,148,88
107,148,88
108,148,88
109,148,88
110,148,88
111,148,88
112,148,88
113,148,88
114,148,88
115,125,81
116,126,86
117,126,86
118,117,87
119,117,87
120,117,87
121,110,83
122,106,94
123,101,79
124,101,79
125,98,79
126,94,77
127,86,77
128,79,77
129,74,77
130,80,84
131,78,87
132,70,85
133,64,82
134,64,82
135,72,83
136,72,83
137,72,83
138,72,83
139,73,80
140,73,80
141,73,80
142,73,80
143,73,80
