Turn,Happiness,Load
0,0,55
1,0,55
2,0,55
3,0,55
4,4,62
5,18,75
6,70,77
7,76,81
8,76,81
9,77,79
10,76,86
11,75,100
12,73,89
13,73,89
14,73,89
15,73,89
16,74,74
17,71,75
18,66,75
19,69,76
20,73,81
21,78,85
22,82,80
23,74,87
24,76,90
25,73,78
26,74,82
27,72,84
28,73,80
29,77,82
30,77,82
31,77,82
32,81,86
33,85,89
34,85,89
35,89,90
36,90,90
37,84,81
38,78,83
39,77,80
40,71,86
41,71,86
42,71,86
43,69,81
44,69,81
45,60,91
46,63,82
47,61,79
48,59,80
49,55,81
50,50,83
51,47,85
52,48,88
53,41,82
54,41,82
55,60,79
56,45,82
57,47,80
58,45,80
59,47,81
60,43,77
61,43,77
62,46,79
63,49,87
64,49,87
65,59,83
66,57,83
67,54,88
68,53,78
69,57,80
70,66,80
71,69,81
72,76,78
73,81,81
74,84,79
75,89,83
76,88,84
77,90,85
78,90,85
79,90,85
80,101,79
81,107,82
82,108,83
83,112,82
84,110,84
85,114,92
86,108,82
87,108,82
88,108,82
89,108,82
90,108,82
91,108,82
92,108,82
93,108,82
94,112,86
95,170,81
96,163,79
97,155,80
98,148,81
99,141,80
100,155,82
101,138,75
102,138,75
103,138,75
104,146,77
105,146,77
106,154,82
107,137,75
108,137,75
109,137,75
110,137,75
111,137,75
112,145,78
113,145,80
114,143,83
115,142,79
116,137,79
117,127,77
118,126,84
119,114,84
120,113,85
121,113,85
122,113,85
123,113,85
124,113,85
125,113,85
126,113,85
127,128,89
128,83,85
129,114,83
130,130,80
131,129,80
132,116,83
133,126,83
134,120,81
135,123,85
136,123,85
137,100,72
138,100,72
139,100,72
140,68,56
141,40,43
142,41,33
143,41,36
