Turn,Happiness,Load
0,0.0,226.0
1,0.0,226.0
2,0.0,240.0
3,0.0,242.0
4,0.0,277.0
5,14.0,290.0
6,10.0,297.0
7,9.0,364.0
8,11.0,343.0
9,11.0,342.0
10,12.0,352.0
11,12.0,354.0
12,13.0,341.0
13,13.0,401.0
14,20.0,393.0
15,26.0,377.0
16,27.0,392.0
17,29.0,392.0
18,31.0,381.0
19,34.0,418.0
20,39.0,417.0
21,51.0,397.0
22,55.0,403.0
23,60.0,381.0
24,63.0,382.0
25,63.0,375.0
26,68.0,373.0
27,77.0,380.0
28,77.0,381.0
29,87.0,383.0
30,87.0,410.0
31,137.0,408.0
32,133.0,407.0
33,141.0,392.0
34,143.0,405.0
35,144.0,386.0
36,149.0,392.0
37,145.0,397.0
38,145.0,386.0
39,143.0,389.0
40,143.0,377.0
41,142.0,379.0
42,145.0,383.0
43,148.0,389.0
44,184.0,391.0
45,177.0,388.0
46,211.0,397.0
47,193.0,387.0
48,198.0,408.0
49,189.0,398.0
50,182.0,380.0
51,188.0,385.0
52,180.0,374.0
53,175.0,372.0
54,175.0,384.0
55,175.0,330.0
56,146.0,327.0
57,132.0,347.0
58,130.0,377.0
59,129.0,384.0
60,126.0,402.0
61,131.0,395.0
62,125.0,371.0
63,120.0,355.0
64,121.0,364.0
65,120.0,359.0
66,128.0,352.0
67,165.0,364.0
68,172.0,367.0
69,173.0,349.0
70,189.0,364.0
71,206.0,368.0
72,216.0,359.0
73,234.0,362.0
74,240.0,360.0
75,254.0,373.0
76,266.0,375.0
77,270.0,385.0
78,277.0,370.0
79,294.0,366.0
80,297.0,367.0
81,312.0,365.0
82,312.0,371.0
83,313.0,384.0
84,313.0,381.0
85,377.0,381.0
86,397.0,371.0
87,405.0,380.0
88,403.0,370.0
89,419.0,337.0
90,416.0,357.0
91,387.0,366.0
92,367.0,372.0
93,367.0,380.0
94,367.0,348.0
95,364.0,353.0
96,353.0,334.0
97,312.0,337.0
98,306.0,334.0
99,293.0,350.0
100,286.0,364.0
101,287.0,361.0
102,287.0,358.0
103,288.0,377.0
104,284.0,389.0
105,267.0,351.0
106,256.0,365.0
107,251.0,372.0
108,252.0,348.0
109,242.0,352.0
110,234.0,335.0
111,216.0,346.0
112,210.0,337.0
113,193.0,348.0
114,186.0,377.0
115,182.0,385.0
116,176.0,408.0
117,162.0,402.0
118,156.0,383.0
119,152.0,379.0
120,150.0,363.0
121,152.0,359.0
122,144.0,372.0
123,134.0,376.0
124,135.0,384.0
125,135.0,392.0
126,137.0,380.0
127,133.0,347.0
128,127.0,337.0
129,107.0,351.0
130,107.0,357.0
131,107.0,367.0
132,107.0,372.0
133,107.0,370.0
134,107.0,377.0
135,107.0,369.0
136,102.0,362.0
137,102.0,367.0
138,102.0,366.0
139,102.0,320.0
140,98.0,326.0
141,89.0,276.0
142,80.0,254.0
143,68.0,234.0
