Turn,Happiness,Load
0,58,53
1,71,53
2,74,58
3,73,63
4,75,70
5,76,74
6,79,77
7,69,80
8,62,80
9,73,84
10,71,84
11,66,81
12,70,77
13,71,77
14,69,74
15,67,80
16,74,80
17,71,79
18,71,82
19,70,82
20,73,81
21,74,81
22,75,82
23,74,75
24,75,78
25,78,75
26,75,74
27,76,79
28,74,79
29,72,85
30,69,79
31,69,80
32,73,86
33,66,86
34,73,76
35,73,76
36,75,77
37,75,79
38,75,79
39,76,82
40,80,91
41,70,75
42,70,79
43,74,80
44,64,80
45,65,77
46,65,78
47,65,78
48,67,83
49,66,87
50,52,78
51,50,73
52,49,73
53,48,73
54,56,76
55,56,81
56,53,81
57,55,81
58,58,75
59,58,75
60,58,78
61,65,90
62,58,80
63,54,77
64,61,76
65,59,78
66,75,81
67,77,86
68,69,81
69,70,79
70,65,82
71,77,77
72,87,81
73,85,79
74,88,77
75,85,73
76,84,77
77,81,77
78,94,81
79,101,83
80,112,86
81,111,79
82,106,83
83,116,84
84,112,83
85,112,78
86,126,80
87,126,80
88,122,79
89,131,80
90,128,78
91,128,78
92,128,78
93,132,82
94,145,82
95,150,87
96,141,81
97,128,78
98,128,78
99,128,78
100,128,78
101,121,74
102,124,76
103,125,77
104,133,84
105,120,79
106,123,78
107,123,78
108,123,78
109,123,78
110,121,80
111,111,79
112,113,83
113,125,82
114,104,82
115,118,78
116,111,79
117,111,79
118,111,79
119,114,78
120,109,78
121,109,78
122,119,84
123,119,84
124,120,80
125,126,78
126,138,83
127,135,82
128,124,82
129,94,83
130,96,85
131,102,83
132,100,84
133,96,84
134,96,84
135,96,84
136,96,84
137,96,84
138,96,84
139,70,70
140,70,70
141,89,62
142,79,58
143,71,54
