Turn,Happiness,Load
0,370.0,258.0
1,370.0,258.0
2,370.0,274.0
3,490.0,287.0
4,487.0,331.0
5,471.0,331.0
6,471.0,360.0
7,459.0,375.0
8,459.0,404.0
9,455.0,414.0
10,444.0,425.0
11,434.0,432.0
12,429.0,424.0
13,421.0,424.0
14,411.0,416.0
15,411.0,420.0
16,398.0,386.0
17,448.0,392.0
18,446.0,420.0
19,457.0,409.0
20,450.0,396.0
21,460.0,405.0
22,450.0,377.0
23,480.0,387.0
24,479.0,421.0
25,486.0,425.0
26,496.0,414.0
27,462.0,407.0
28,497.0,397.0
29,502.0,377.0
30,518.0,359.0
31,514.0,397.0
32,500.0,400.0
33,508.0,409.0
34,512.0,414.0
35,509.0,416.0
36,485.0,394.0
37,475.0,409.0
38,504.0,398.0
39,493.0,386.0
40,507.0,401.0
41,458.0,407.0
42,439.0,419.0
43,423.0,412.0
44,412.0,360.0
45,466.0,414.0
46,439.0,440.0
47,406.0,406.0
48,404.0,394.0
49,403.0,410.0
50,384.0,379.0
51,371.0,397.0
52,354.0,385.0
53,392.0,388.0
54,381.0,389.0
55,355.0,393.0
56,342.0,403.0
57,365.0,379.0
58,364.0,371.0
59,339.0,373.0
60,361.0,367.0
61,352.0,378.0
62,347.0,395.0
63,345.0,408.0
64,348.0,362.0
65,410.0,372.0
66,402.0,374.0
67,391.0,368.0
68,371.0,399.0
69,348.0,404.0
70,359.0,376.0
71,373.0,397.0
72,353.0,412.0
73,349.0,406.0
74,353.0,372.0
75,427.0,373.0
76,422.0,384.0
77,409.0,401.0
78,404.0,419.0
79,494.0,399.0
80,487.0,400.0
81,483.0,399.0
82,491.0,361.0
83,518.0,378.0
84,490.0,382.0
85,483.0,395.0
86,482.0,392.0
87,484.0,389.0
88,488.0,387.0
89,486.0,397.0
90,477.0,400.0
91,473.0,408.0
92,464.0,400.0
93,471.0,402.0
94,464.0,398.0
95,468.0,409.0
96,454.0,408.0
97,447.0,392.0
98,567.0,401.0
99,571.0,383.0
100,588.0,398.0
101,559.0,395.0
102,552.0,404.0
103,552.0,402.0
104,541.0,416.0
105,531.0,410.0
106,499.0,399.0
107,478.0,391.0
108,478.0,402.0
109,465.0,405.0
110,455.0,412.0
111,428.0,404.0
112,403.0,402.0
113,401.0,407.0
114,400.0,411.0
115,385.0,407.0
116,376.0,394.0
117,371.0,392.0
118,358.0,395.0
119,345.0,397.0
120,332.0,398.0
121,332.0,387.0
122,321.0,400.0
123,312.0,390.0
124,300.0,394.0
125,286.0,404.0
126,546.0,383.0
127,449.0,393.0
128,438.0,401.0
129,423.0,409.0
130,393.0,403.0
131,382.0,406.0
132,364.0,401.0
133,466.0,412.0
134,456.0,414.0
135,446.0,405.0
136,448.0,403.0
137,435.0,406.0
138,401.0,396.0
139,405.0,404.0
140,363.0,403.0
141,359.0,403.0
142,359.0,403.0
143,359.0,403.0
