Turn,Happiness,Load
0,0,46
1,0,46
2,0,46
3,154,70
4,154,70
5,172,74
6,179,74
7,150,75
8,150,75
9,150,75
10,125,75
11,122,81
12,156,75
13,156,75
14,170,75
15,163,75
16,157,75
17,153,76
18,145,77
19,147,77
20,147,77
21,147,77
22,156,75
23,133,75
24,165,75
25,165,75
26,151,75
27,151,75
28,151,75
29,137,77
30,117,82
31,113,76
32,98,81
33,124,74
34,89,75
35,92,78
36,86,76
37,84,81
38,104,75
39,104,75
40,59,75
41,55,79
42,58,75
43,34,79
44,27,75
45,24,75
46,23,79
47,23,85
48,19,75
49,18,75
50,5,75
51,7,76
52,5,75
53,3,76
54,0,75
55,0,75
56,0,75
57,7,75
58,5,76
59,0,75
60,0,76
61,0,83
62,0,86
63,0,87
64,1,92
65,0,75
66,0,75
67,0,75
68,0,75
69,0,80
70,1,83
71,6,88
72,10,93
73,3,75
74,2,81
75,3,85
76,3,82
77,3,81
78,11,85
79,12,86
80,15,84
81,20,82
82,27,78
83,34,78
84,35,89
85,35,83
86,44,78
87,43,82
88,43,82
89,48,79
90,35,75
91,37,75
92,41,79
93,35,82
94,44,75
95,47,79
96,40,75
97,44,75
98,45,75
99,41,81
100,40,75
101,47,75
102,73,75
103,54,75
104,57,75
105,100,75
106,81,75
107,77,75
108,74,80
109,74,88
110,44,75
111,44,75
112,55,75
113,51,75
114,51,75
115,79,75
116,96,75
117,83,75
118,49,75
119,70,75
120,78,74
121,70,77
122,67,79
123,62,77
124,67,77
125,67,79
126,64,76
127,64,76
128,56,82
129,52,76
130,34,76
131,28,83
132,25,80
133,25,80
134,42,74
135,37,77
136,37,77
137,33,74
138,25,71
139,24,70
140,19,66
141,12,53
142,7,42
143,7,42
