Turn,Happiness,Load
0,12.0,256.0
1,4.0,256.0
2,4.0,266.0
3,4.0,286.0
4,6.0,302.0
5,1.0,327.0
6,15.0,368.0
7,424.0,367.0
8,397.0,380.0
9,393.0,358.0
10,384.0,362.0
11,383.0,377.0
12,377.0,386.0
13,369.0,372.0
14,359.0,386.0
15,352.0,393.0
16,358.0,400.0
17,358.0,397.0
18,357.0,413.0
19,366.0,422.0
20,413.0,415.0
21,421.0,393.0
22,435.0,392.0
23,438.0,393.0
24,439.0,412.0
25,435.0,391.0
26,458.0,389.0
27,459.0,377.0
28,457.0,390.0
29,443.0,417.0
30,435.0,397.0
31,481.0,404.0
32,464.0,413.0
33,455.0,415.0
34,461.0,410.0
35,448.0,421.0
36,449.0,394.0
37,460.0,387.0
38,458.0,396.0
39,446.0,353.0
40,405.0,370.0
41,401.0,371.0
42,389.0,389.0
43,387.0,385.0
44,388.0,397.0
45,375.0,406.0
46,366.0,381.0
47,395.0,387.0
48,395.0,393.0
49,395.0,380.0
50,400.0,360.0
51,344.0,376.0
52,311.0,400.0
53,292.0,381.0
54,289.0,379.0
55,218.0,386.0
56,205.0,394.0
57,192.0,437.0
58,258.0,453.0
59,284.0,430.0
60,245.0,422.0
61,240.0,417.0
62,246.0,408.0
63,238.0,380.0
64,220.0,410.0
65,212.0,413.0
66,207.0,422.0
67,206.0,411.0
68,215.0,410.0
69,233.0,415.0
70,234.0,420.0
71,240.0,422.0
72,234.0,426.0
73,235.0,414.0
74,256.0,392.0
75,266.0,399.0
76,285.0,401.0
77,289.0,399.0
78,298.0,423.0
79,431.0,415.0
80,435.0,423.0
81,422.0,421.0
82,420.0,409.0
83,429.0,407.0
84,425.0,403.0
85,426.0,402.0
86,446.0,400.0
87,433.0,400.0
88,432.0,399.0
89,430.0,400.0
90,440.0,403.0
91,449.0,413.0
92,443.0,414.0
93,441.0,419.0
94,436.0,418.0
95,439.0,415.0
96,443.0,408.0
97,444.0,372.0
98,427.0,394.0
99,419.0,406.0
100,419.0,417.0
101,413.0,393.0
102,420.0,358.0
103,372.0,326.0
104,293.0,355.0
105,288.0,353.0
106,282.0,365.0
107,260.0,398.0
108,319.0,371.0
109,296.0,390.0
110,285.0,394.0
111,274.0,400.0
112,267.0,407.0
113,262.0,410.0
114,257.0,376.0
115,245.0,383.0
116,240.0,402.0
117,223.0,364.0
118,206.0,384.0
119,206.0,398.0
120,202.0,406.0
121,206.0,385.0
122,203.0,389.0
123,228.0,372.0
124,185.0,388.0
125,185.0,396.0
126,185.0,408.0
127,225.0,373.0
128,200.0,360.0
129,195.0,354.0
130,140.0,385.0
131,204.0,392.0
132,184.0,416.0
133,163.0,414.0
134,163.0,384.0
135,140.0,398.0
136,140.0,406.0
137,140.0,402.0
138,143.0,410.0
139,134.0,398.0
140,139.0,374.0
141,132.0,322.0
142,69.0,287.0
143,56.0,283.0
